Index,AIN1,AIN 2,AIN 3,AIN 4,AIN 5,AIN 6,AIN 7,AIN 8
1,0.884005,0.717949,0,0,0,0,0,0
2,0.864469,0.717949,0,0,0,0,0,0
3,0.879121,0.705739,0,0,0,0,0,0
4,0.886447,0.730159,0,0,0,0,0,0
5,0.881563,0.708181,0,0,0,0,0,0
6,0.884005,0.686203,0,0,0,0,0,0
7,0.859585,0.698413,0,0,0,0,0,0
8,0.886447,0.713065,0,0,0,0,0,0
9,0.859585,0.695971,0,0,0,0,0,0
10,0.859585,0.698413,0,0,0,0,0,0
11,0.874237,0.693529,0,0,0,0,0,0
12,0.835165,0.703297,0,0,0,0,0,0
13,0.896215,0.673993,0,0,0,0,0,0
14,0.849817,0.698413,0,0,0,0,0,0
15,0.874237,0.720391,0,0,0,0,0,0
16,0.879121,0.698413,0,0,0,0,0,0
17,0.840049,0.691087,0,0,0,0,0,0
18,0.881563,0.713065,0,0,0,0,0,0
19,0.869353,0.703297,0,0,0,0,0,0
20,0.869353,0.713065,0,0,0,0,0,0
21,0.876679,0.673993,0,0,0,0,0,0
22,0.871795,0.676435,0,0,0,0,0,0
23,0.884005,0.703297,0,0,0,0,0,0
24,0.864469,0.708181,0,0,0,0,0,0
25,0.862027,0.686203,0,0,0,0,0,0
26,0.879121,0.749695,0,0,0,0,0,0
27,0.859585,0.708181,0,0,0,0,0,0
28,0.869353,0.695971,0,0,0,0,0,0
29,0.837607,0.673993,0,0,0,0,0,0
30,0.837607,0.761905,0,0,0,0,0,0
31,0.866911,0.703297,0,0,0,0,0,0
32,0.852259,0.695971,0,0,0,0,0,0
33,0.891331,0.703297,0,0,0,0,0,0
34,0.852259,0.705739,0,0,0,0,0,0
35,0.874237,0.681319,0,0,0,0,0,0
36,0.871795,0.713065,0,0,0,0,0,0
37,0.884005,0.720391,0,0,0,0,0,0
38,0.888889,0.717949,0,0,0,0,0,0
39,0.857143,0.720391,0,0,0,0,0,0
40,0.849817,0.688645,0,0,0,0,0,0
41,0.866911,0.715507,0,0,0,0,0,0
42,0.862027,0.644689,0,0,0,0,0,0
43,0.862027,0.659341,0,0,0,0,0,0
44,0.854701,0.693529,0,0,0,0,0,0
45,0.888889,0.669109,0,0,0,0,0,0
46,0.835165,0.722833,0,0,0,0,0,0
47,0.869353,0.708181,0,0,0,0,0,0
48,0.879121,0.747253,0,0,0,0,0,0
49,0.862027,0.703297,0,0,0,0,0,0
50,0.881563,0.676435,0,0,0,0,0,0
51,0.857143,0.676435,0,0,0,0,0,0
52,0.871795,0.693529,0,0,0,0,0,0
53,0.869353,0.717949,0,0,0,0,0,0
54,0.864469,0.713065,0,0,0,0,0,0
55,0.886447,0.717949,0,0,0,0,0,0
56,0.849817,0.717949,0,0,0,0,0,0
57,0.898657,0.725275,0,0,0,0,0,0
58,0.840049,0.710623,0,0,0,0,0,0
59,0.876679,0.671551,0,0,0,0,0,0
60,0.869353,0.700855,0,0,0,0,0,0
61,0.849817,0.698413,0,0,0,0,0,0
62,0.859585,0.722833,0,0,0,0,0,0
63,0.854701,0.720391,0,0,0,0,0,0
64,0.881563,0.715507,0,0,0,0,0,0
65,0.849817,0.688645,0,0,0,0,0,0
66,0.862027,0.710623,0,0,0,0,0,0
67,0.854701,0.698413,0,0,0,0,0,0
68,0.871795,0.717949,0,0,0,0,0,0
69,0.888889,0.722833,0,0,0,0,0,0
70,0.876679,0.730159,0,0,0,0,0,0
71,0.908425,0.710623,0,0,0,0,0,0
72,0.869353,0.703297,0,0,0,0,0,0
73,0.859585,0.700855,0,0,0,0,0,0
74,0.879121,0.722833,0,0,0,0,0,0
75,0.852259,0.708181,0,0,0,0,0,0
76,0.866911,0.703297,0,0,0,0,0,0
77,0.852259,0.703297,0,0,0,0,0,0
78,0.835165,0.705739,0,0,0,0,0,0
79,0.864469,0.715507,0,0,0,0,0,0
80,0.852259,0.695971,0,0,0,0,0,0
81,0.884005,0.710623,0,0,0,0,0,0
82,0.852259,0.713065,0,0,0,0,0,0
83,0.886447,0.708181,0,0,0,0,0,0
84,0.842491,0.693529,0,0,0,0,0,0
85,0.857143,0.713065,0,0,0,0,0,0
86,0.874237,0.720391,0,0,0,0,0,0
87,0.866911,0.717949,0,0,0,0,0,0
88,0.898657,0.717949,0,0,0,0,0,0
89,0.869353,0.703297,0,0,0,0,0,0
90,0.903541,0.683761,0,0,0,0,0,0
91,0.864469,0.688645,0,0,0,0,0,0
92,0.869353,0.710623,0,0,0,0,0,0
93,0.879121,0.705739,0,0,0,0,0,0
94,0.844933,0.695971,0,0,0,0,0,0
95,0.871795,0.688645,0,0,0,0,0,0
96,0.842491,0.742369,0,0,0,0,0,0
97,0.852259,0.757021,0,0,0,0,0,0
98,0.866911,0.710623,0,0,0,0,0,0
99,0.859585,0.703297,0,0,0,0,0,0
100,0.854701,0.720391,0,0,0,0,0,0
101,0.881563,0.725275,0,0,0,0,0,0
102,0.866911,0.725275,0,0,0,0,0,0
103,0.903541,0.739927,0,0,0,0,0,0
104,0.876679,0.722833,0,0,0,0,0,0
105,0.886447,0.686203,0,0,0,0,0,0
106,0.864469,0.705739,0,0,0,0,0,0
107,0.854701,0.725275,0,0,0,0,0,0
108,0.859585,0.695971,0,0,0,0,0,0
109,0.840049,0.691087,0,0,0,0,0,0
110,0.869353,0.708181,0,0,0,0,0,0
111,0.859585,0.703297,0,0,0,0,0,0
112,0.864469,0.754579,0,0,0,0,0,0
113,0.879121,0.715507,0,0,0,0,0,0
114,0.864469,0.708181,0,0,0,0,0,0
115,0.869353,0.713065,0,0,0,0,0,0
116,0.866911,0.713065,0,0,0,0,0,0
117,0.859585,0.683761,0,0,0,0,0,0
118,0.881563,0.715507,0,0,0,0,0,0
119,0.842491,0.722833,0,0,0,0,0,0
120,0.876679,0.749695,0,0,0,0,0,0
121,0.869353,0.725275,0,0,0,0,0,0
122,0.871795,0.730159,0,0,0,0,0,0
123,0.891331,0.725275,0,0,0,0,0,0
124,0.847375,0.720391,0,0,0,0,0,0
125,0.857143,0.735043,0,0,0,0,0,0
126,0.871795,0.717949,0,0,0,0,0,0
127,0.844933,0.705739,0,0,0,0,0,0
128,0.864469,0.757021,0,0,0,0,0,0
129,0.854701,0.725275,0,0,0,0,0,0
130,0.881563,0.713065,0,0,0,0,0,0
131,0.862027,0.693529,0,0,0,0,0,0
132,0.866911,0.764347,0,0,0,0,0,0
133,0.869353,0.713065,0,0,0,0,0,0
134,0.871795,0.708181,0,0,0,0,0,0
135,0.888889,0.742369,0,0,0,0,0,0
136,0.859585,0.732601,0,0,0,0,0,0
137,0.871795,0.744811,0,0,0,0,0,0
138,0.876679,0.727717,0,0,0,0,0,0
139,0.852259,0.725275,0,0,0,0,0,0
140,0.881563,0.747253,0,0,0,0,0,0
141,0.849817,0.722833,0,0,0,0,0,0
142,0.840049,0.715507,0,0,0,0,0,0
143,0.874237,0.710623,0,0,0,0,0,0
144,0.854701,0.710623,0,0,0,0,0,0
145,0.881563,0.742369,0,0,0,0,0,0
146,0.849817,0.732601,0,0,0,0,0,0
147,0.876679,0.739927,0,0,0,0,0,0
148,0.871795,0.744811,0,0,0,0,0,0
149,0.869353,0.725275,0,0,0,0,0,0
150,0.881563,0.796093,0,0,0,0,0,0
151,0.869353,0.757021,0,0,0,0,0,0
152,0.893773,0.757021,0,0,0,0,0,0
153,0.840049,0.761905,0,0,0,0,0,0
154,0.891331,0.759463,0,0,0,0,0,0
155,0.881563,0.759463,0,0,0,0,0,0
156,0.879121,0.759463,0,0,0,0,0,0
157,0.893773,0.722833,0,0,0,0,0,0
158,0.879121,0.749695,0,0,0,0,0,0
159,0.896215,0.781441,0,0,0,0,0,0
160,0.862027,0.749695,0,0,0,0,0,0
161,0.864469,0.752137,0,0,0,0,0,0
162,0.862027,0.759463,0,0,0,0,0,0
163,0.864469,0.781441,0,0,0,0,0,0
164,0.901099,0.761905,0,0,0,0,0,0
165,0.866911,0.825397,0,0,0,0,0,0
166,0.886447,0.739927,0,0,0,0,0,0
167,0.896215,0.778999,0,0,0,0,0,0
168,0.874237,0.798535,0,0,0,0,0,0
169,0.918193,0.783883,0,0,0,0,0,0
170,0.886447,0.786325,0,0,0,0,0,0
171,0.901099,0.771673,0,0,0,0,0,0
172,0.886447,0.769231,0,0,0,0,0,0
173,0.879121,0.796093,0,0,0,0,0,0
174,0.891331,0.783883,0,0,0,0,0,0
175,0.857143,0.766789,0,0,0,0,0,0
176,0.898657,0.774115,0,0,0,0,0,0
177,0.874237,0.847375,0,0,0,0,0,0
178,0.893773,0.791209,0,0,0,0,0,0
179,0.893773,0.796093,0,0,0,0,0,0
180,0.884005,0.815629,0,0,0,0,0,0
181,0.910867,0.808303,0,0,0,0,0,0
182,0.874237,0.788767,0,0,0,0,0,0
183,0.876679,0.781441,0,0,0,0,0,0
184,0.881563,0.847375,0,0,0,0,0,0
