FileName,MaxDiff,AIN1_Min,AIN2_Target
you_20241113162145_500.csv,0.0642734400000001,0.87931636,0.50125512
you_20241113162235_500.csv,0.0614407200000001,0.88439572,0.49953584
you_20241113162321_500.csv,0.0584614800000006,0.88459108,0.50249568
you_20241113162511_500.csv,0.0666177400000003,0.88297936,0.50585572
you_20241113162602_500.csv,0.06207564,0.88122112,0.50227096
you_20241113162850_500.csv,0.0587545199999998,0.87809536,0.50052252
you_20241113162929_500.csv,0.0583638000000002,0.86090368,0.50175324
you_20241113163019_500.csv,0.05846148,0.86383408,0.50216348
you_20241113163112_500.csv,0.0552868800000005,0.86876692,0.49622456
you_20241113163158_500.csv,0.0539193600000001,0.86627608,0.49877408
you_20241113163239_500.csv,0.0629547599999999,0.88527484,0.50042488
you_20241113163320_500.csv,0.0644199599999997,0.87775348,0.5020462
you_20241113163356_500.csv,0.0627598399999998,0.952381,0.7943346
you_20241113163507_500.csv,0.0611476800000003,0.88688656,0.50104988
you_20241113163540_500.csv,0.0562637,0.89069608,0.49806096
you_20241113163614_500.csv,0.0596336400000002,0.88674004,0.50186076
you_20241113163652_500.csv,0.0560683199999999,0.88664236,0.502437
you_20241113163905_500.csv,0.0604639200000003,0.88063504,0.49966276
you_20241113163941_500.csv,0.0662758799999997,0.88420036,0.50086432
you_20241113164019_500.csv,0.0558729600000001,0.88210024,0.49915504
you_20241113164049_500.csv,0.0600243599999997,0.8893774,0.50158732
you_20241113164131_500.csv,0.06266176,0.9014897,0.66264248
you_20241113164303_500.csv,0.0530627815384617,0.861369538461539,0.146182076923077
you_20241113164334_500.csv,0.05098896,0.88166068,0.49866652
you_20241113164407_500.csv,0.0557752600000001,0.88126996,0.50243704
you_20241113164439_500.csv,0.0495725399999999,0.88390732,0.5007864
you_20241113164514_500.csv,0.0537240000000001,0.88371196,0.49858844
you_20241113164547_500.csv,0.0600731999999997,0.88195372,0.50287644
you_20241113164625_500.csv,0.0505005600000001,0.88361428,0.50476192
you_20241113164739_500.csv,0.0487911599999999,0.88537252,0.499653
you_20241113165005_500.csv,0.0412209600000001,0.8800978,0.50368728
you_20241113165037_500.csv,0.0534797999999997,0.88029316,0.50010248
you_20241113165112_500.csv,0.0668131200000003,0.8776558,0.5007568
you_20241113165146_500.csv,0.0670084799999997,0.86695984,0.50752628
you_20241113165222_500.csv,0.0625152000000001,0.8832724,0.50535768
you_20241113165253_500.csv,0.0565078800000001,0.86266192,0.50337472
you_20241113165328_500.csv,0.06173376,0.88293052,0.5032478
you_20241113165400_500.csv,0.0571916399999998,0.86168512,0.150632528
you_20241113165433_500.csv,0.05474964,0.8859586,0.50510364
you_20241113165508_500.csv,0.05450586,0.97377332,1.04400492
you_20241113165547_500.csv,0.0546519600000004,0.88102576,0.4962148
you_20241113165623_500.csv,0.0526983599999999,0.86290612,0.50229052
you_20241113165701_500.csv,0.0555799200000001,0.86358988,0.49736748
you_20241113165750_500.csv,0.0527471999999999,0.87062284,0.50257372
you_20241113165829_500.csv,0.06945048,0.8786326,0.50228072
you_20241113165902_500.csv,0.0548473199999998,0.88244212,0.49950668
