Index,AIN1,AIN2,AIN 3,AIN 4,AIN 5,AIN 6,AIN 7,AIN 8
1,0.864469,0.759463,0,0,0,0,0,0
2,0.849817,0.722833,0,0,0,0,0,0
3,0.847375,0.715507,0,0,0,0,0,0
4,0.854701,0.725275,0,0,0,0,0,0
5,0.852259,0.747253,0,0,0,0,0,0
6,0.859585,0.732601,0,0,0,0,0,0
7,0.871795,0.739927,0,0,0,0,0,0
8,0.886447,0.742369,0,0,0,0,0,0
9,0.876679,0.693529,0,0,0,0,0,0
10,0.866911,0.722833,0,0,0,0,0,0
11,0.879121,0.735043,0,0,0,0,0,0
12,0.847375,0.720391,0,0,0,0,0,0
13,0.864469,0.722833,0,0,0,0,0,0
14,0.842491,0.710623,0,0,0,0,0,0
15,0.859585,0.703297,0,0,0,0,0,0
16,0.859585,0.717949,0,0,0,0,0,0
17,0.852259,0.715507,0,0,0,0,0,0
18,0.876679,0.710623,0,0,0,0,0,0
19,0.871795,0.720391,0,0,0,0,0,0
20,0.869353,0.713065,0,0,0,0,0,0
21,0.876679,0.683761,0,0,0,0,0,0
22,0.832723,0.686203,0,0,0,0,0,0
23,0.866911,0.737485,0,0,0,0,0,0
24,0.881563,0.722833,0,0,0,0,0,0
25,0.862027,0.730159,0,0,0,0,0,0
26,0.879121,0.730159,0,0,0,0,0,0
27,0.896215,0.730159,0,0,0,0,0,0
28,0.886447,0.673993,0,0,0,0,0,0
29,0.874237,0.722833,0,0,0,0,0,0
30,0.864469,0.727717,0,0,0,0,0,0
31,0.854701,0.722833,0,0,0,0,0,0
32,0.844933,0.691087,0,0,0,0,0,0
33,0.854701,0.710623,0,0,0,0,0,0
34,0.864469,0.727717,0,0,0,0,0,0
35,0.871795,0.722833,0,0,0,0,0,0
36,0.852259,0.693529,0,0,0,0,0,0
37,0.901099,0.735043,0,0,0,0,0,0
38,0.891331,0.695971,0,0,0,0,0,0
39,0.879121,0.720391,0,0,0,0,0,0
40,0.864469,0.717949,0,0,0,0,0,0
41,0.874237,0.749695,0,0,0,0,0,0
42,0.840049,0.722833,0,0,0,0,0,0
43,0.874237,0.727717,0,0,0,0,0,0
44,0.874237,0.737485,0,0,0,0,0,0
45,0.859585,0.705739,0,0,0,0,0,0
46,0.874237,0.713065,0,0,0,0,0,0
47,0.840049,0.713065,0,0,0,0,0,0
48,0.893773,0.749695,0,0,0,0,0,0
49,0.881563,0.703297,0,0,0,0,0,0
50,0.864469,0.764347,0,0,0,0,0,0
51,0.844933,0.730159,0,0,0,0,0,0
52,0.854701,0.700855,0,0,0,0,0,0
53,0.830281,0.722833,0,0,0,0,0,0
54,0.852259,0.722833,0,0,0,0,0,0
55,0.862027,0.730159,0,0,0,0,0,0
56,0.862027,0.744811,0,0,0,0,0,0
57,0.884005,0.742369,0,0,0,0,0,0
58,0.879121,0.732601,0,0,0,0,0,0
59,0.893773,0.739927,0,0,0,0,0,0
60,0.896215,0.713065,0,0,0,0,0,0
61,0.881563,0.698413,0,0,0,0,0,0
62,0.737485,0.713065,0,0,0,0,0,0
63,0.852259,0.737485,0,0,0,0,0,0
64,0.866911,0.727717,0,0,0,0,0,0
65,0.857143,0.698413,0,0,0,0,0,0
66,0.866911,0.713065,0,0,0,0,0,0
67,0.874237,0.693529,0,0,0,0,0,0
68,0.874237,0.715507,0,0,0,0,0,0
69,0.854701,0.708181,0,0,0,0,0,0
70,0.881563,0.717949,0,0,0,0,0,0
71,0.869353,0.747253,0,0,0,0,0,0
72,0.849817,0.730159,0,0,0,0,0,0
73,0.859585,0.710623,0,0,0,0,0,0
74,0.844933,0.732601,0,0,0,0,0,0
75,0.864469,0.766789,0,0,0,0,0,0
76,0.844933,0.722833,0,0,0,0,0,0
77,0.903541,0.732601,0,0,0,0,0,0
78,0.879121,0.722833,0,0,0,0,0,0
79,0.886447,0.761905,0,0,0,0,0,0
80,0.871795,0.730159,0,0,0,0,0,0
81,0.857143,0.735043,0,0,0,0,0,0
82,0.862027,0.783883,0,0,0,0,0,0
83,0.857143,0.720391,0,0,0,0,0,0
84,0.844933,0.708181,0,0,0,0,0,0
85,0.830281,0.725275,0,0,0,0,0,0
86,0.862027,0.710623,0,0,0,0,0,0
87,0.852259,0.700855,0,0,0,0,0,0
88,0.881563,0.730159,0,0,0,0,0,0
89,0.881563,0.722833,0,0,0,0,0,0
90,0.864469,0.730159,0,0,0,0,0,0
91,0.825397,0.713065,0,0,0,0,0,0
92,0.859585,0.771673,0,0,0,0,0,0
93,0.859585,0.737485,0,0,0,0,0,0
94,0.866911,0.732601,0,0,0,0,0,0
95,0.866911,0.739927,0,0,0,0,0,0
96,0.871795,0.747253,0,0,0,0,0,0
97,0.881563,0.722833,0,0,0,0,0,0
98,0.871795,0.715507,0,0,0,0,0,0
99,0.884005,0.730159,0,0,0,0,0,0
100,0.862027,0.781441,0,0,0,0,0,0
101,0.827839,0.732601,0,0,0,0,0,0
102,0.840049,0.715507,0,0,0,0,0,0
103,0.854701,0.710623,0,0,0,0,0,0
104,0.862027,0.713065,0,0,0,0,0,0
105,0.869353,0.713065,0,0,0,0,0,0
106,0.871795,0.695971,0,0,0,0,0,0
107,0.871795,0.732601,0,0,0,0,0,0
108,0.866911,0.720391,0,0,0,0,0,0
109,0.857143,0.708181,0,0,0,0,0,0
110,0.876679,0.717949,0,0,0,0,0,0
111,0.871795,0.730159,0,0,0,0,0,0
112,0.854701,0.747253,0,0,0,0,0,0
113,0.859585,0.800977,0,0,0,0,0,0
114,0.876679,0.739927,0,0,0,0,0,0
115,0.869353,0.686203,0,0,0,0,0,0
116,0.874237,0.727717,0,0,0,0,0,0
117,0.793651,0.703297,0,0,0,0,0,0
118,0.881563,0.739927,0,0,0,0,0,0
119,0.874237,0.715507,0,0,0,0,0,0
120,0.857143,0.705739,0,0,0,0,0,0
121,0.854701,0.710623,0,0,0,0,0,0
122,0.871795,0.732601,0,0,0,0,0,0
123,0.866911,0.771673,0,0,0,0,0,0
124,0.837607,0.691087,0,0,0,0,0,0
125,0.862027,0.713065,0,0,0,0,0,0
126,0.862027,0.720391,0,0,0,0,0,0
127,0.862027,0.715507,0,0,0,0,0,0
128,0.918193,0.710623,0,0,0,0,0,0
129,0.849817,0.781441,0,0,0,0,0,0
130,0.884005,0.742369,0,0,0,0,0,0
131,0.879121,0.771673,0,0,0,0,0,0
132,0.891331,0.725275,0,0,0,0,0,0
133,0.871795,0.766789,0,0,0,0,0,0
134,0.876679,0.730159,0,0,0,0,0,0
135,0.844933,0.717949,0,0,0,0,0,0
136,0.862027,0.713065,0,0,0,0,0,0
137,0.869353,0.713065,0,0,0,0,0,0
138,0.852259,0.717949,0,0,0,0,0,0
139,0.842491,0.747253,0,0,0,0,0,0
140,0.881563,0.781441,0,0,0,0,0,0
141,0.864469,0.683761,0,0,0,0,0,0
142,0.876679,0.717949,0,0,0,0,0,0
143,0.874237,0.691087,0,0,0,0,0,0
144,0.864469,0.722833,0,0,0,0,0,0
145,0.854701,0.742369,0,0,0,0,0,0
146,0.859585,0.717949,0,0,0,0,0,0
147,0.859585,0.732601,0,0,0,0,0,0
148,0.862027,0.744811,0,0,0,0,0,0
149,0.854701,0.732601,0,0,0,0,0,0
150,0.769231,0.764347,0,0,0,0,0,0
151,0.886447,0.747253,0,0,0,0,0,0
152,0.866911,0.722833,0,0,0,0,0,0
153,0.864469,0.761905,0,0,0,0,0,0
154,0.869353,0.727717,0,0,0,0,0,0
155,0.837607,0.722833,0,0,0,0,0,0
156,0.847375,0.717949,0,0,0,0,0,0
157,0.844933,0.710623,0,0,0,0,0,0
158,0.869353,0.715507,0,0,0,0,0,0
159,0.874237,0.725275,0,0,0,0,0,0
160,0.876679,0.713065,0,0,0,0,0,0
161,0.835165,0.722833,0,0,0,0,0,0
162,0.869353,0.742369,0,0,0,0,0,0
163,0.854701,0.722833,0,0,0,0,0,0
164,0.864469,0.737485,0,0,0,0,0,0
165,0.893773,0.739927,0,0,0,0,0,0
166,0.871795,0.747253,0,0,0,0,0,0
167,0.871795,0.735043,0,0,0,0,0,0
168,0.842491,0.735043,0,0,0,0,0,0
169,0.866911,0.710623,0,0,0,0,0,0
170,0.869353,0.781441,0,0,0,0,0,0
171,0.854701,0.715507,0,0,0,0,0,0
172,0.901099,0.703297,0,0,0,0,0,0
173,0.835165,0.722833,0,0,0,0,0,0
174,0.871795,0.710623,0,0,0,0,0,0
175,0.881563,0.717949,0,0,0,0,0,0
176,0.881563,0.727717,0,0,0,0,0,0
177,0.866911,0.681319,0,0,0,0,0,0
178,0.876679,0.717949,0,0,0,0,0,0
179,0.857143,0.730159,0,0,0,0,0,0
180,0.871795,0.735043,0,0,0,0,0,0
181,0.869353,0.735043,0,0,0,0,0,0
182,0.869353,0.730159,0,0,0,0,0,0
183,0.854701,0.730159,0,0,0,0,0,0
184,0.859585,0.754579,0,0,0,0,0,0
185,0.840049,0.720391,0,0,0,0,0,0
186,0.842491,0.717949,0,0,0,0,0,0
187,0.898657,0.735043,0,0,0,0,0,0
188,0.884005,0.735043,0,0,0,0,0,0
189,0.881563,0.759463,0,0,0,0,0,0
190,0.857143,0.764347,0,0,0,0,0,0
191,0.862027,0.771673,0,0,0,0,0,0
192,0.857143,0.695971,0,0,0,0,0,0
193,0.847375,0.717949,0,0,0,0,0,0
194,0.844933,0.725275,0,0,0,0,0,0
195,0.849817,0.739927,0,0,0,0,0,0
196,0.852259,0.761905,0,0,0,0,0,0
197,0.876679,0.722833,0,0,0,0,0,0
198,0.893773,0.788767,0,0,0,0,0,0
199,0.893773,0.735043,0,0,0,0,0,0
200,0.898657,0.732601,0,0,0,0,0,0
201,0.869353,0.737485,0,0,0,0,0,0
202,0.857143,0.737485,0,0,0,0,0,0
203,0.864469,0.744811,0,0,0,0,0,0
204,0.862027,0.727717,0,0,0,0,0,0
205,0.852259,0.732601,0,0,0,0,0,0
206,0.849817,0.705739,0,0,0,0,0,0
207,0.849817,0.722833,0,0,0,0,0,0
208,0.862027,0.727717,0,0,0,0,0,0
209,0.864469,0.720391,0,0,0,0,0,0
210,0.881563,0.732601,0,0,0,0,0,0
211,0.879121,0.727717,0,0,0,0,0,0
212,0.854701,0.715507,0,0,0,0,0,0
213,0.864469,0.713065,0,0,0,0,0,0
214,0.866911,0.730159,0,0,0,0,0,0
215,0.862027,0.676435,0,0,0,0,0,0
216,0.864469,0.781441,0,0,0,0,0,0
217,0.874237,0.747253,0,0,0,0,0,0
218,0.864469,0.732601,0,0,0,0,0,0
219,0.884005,0.771673,0,0,0,0,0,0
220,0.893773,0.730159,0,0,0,0,0,0
221,0.886447,0.737485,0,0,0,0,0,0
222,0.908425,0.742369,0,0,0,0,0,0
223,0.854701,0.705739,0,0,0,0,0,0
224,0.876679,0.715507,0,0,0,0,0,0
225,0.869353,0.691087,0,0,0,0,0,0
226,0.840049,0.703297,0,0,0,0,0,0
227,0.844933,0.698413,0,0,0,0,0,0
228,0.835165,0.737485,0,0,0,0,0,0
229,0.864469,0.686203,0,0,0,0,0,0
230,0.852259,0.752137,0,0,0,0,0,0
231,0.888889,0.730159,0,0,0,0,0,0
232,0.884005,0.742369,0,0,0,0,0,0
233,0.886447,0.737485,0,0,0,0,0,0
234,0.869353,0.800977,0,0,0,0,0,0
235,0.888889,0.717949,0,0,0,0,0,0
236,0.879121,0.715507,0,0,0,0,0,0
237,0.859585,0.732601,0,0,0,0,0,0
238,0.852259,0.771673,0,0,0,0,0,0
239,0.854701,0.757021,0,0,0,0,0,0
240,0.871795,0.735043,0,0,0,0,0,0
241,0.866911,0.727717,0,0,0,0,0,0
242,0.888889,0.759463,0,0,0,0,0,0
243,0.862027,0.730159,0,0,0,0,0,0
244,0.871795,0.703297,0,0,0,0,0,0
245,0.857143,0.732601,0,0,0,0,0,0
246,0.869353,0.783883,0,0,0,0,0,0
247,0.859585,0.737485,0,0,0,0,0,0
248,0.852259,0.730159,0,0,0,0,0,0
249,0.862027,0.725275,0,0,0,0,0,0
250,0.864469,0.805861,0,0,0,0,0,0
1,0.854701,0.735043,0,0,0,0,0,0
2,0.888889,0.739927,0,0,0,0,0,0
3,0.903541,0.752137,0,0,0,0,0,0
4,0.884005,0.781441,0,0,0,0,0,0
5,0.888889,0.757021,0,0,0,0,0,0
6,0.866911,0.749695,0,0,0,0,0,0
7,0.869353,0.761905,0,0,0,0,0,0
8,0.874237,0.808303,0,0,0,0,0,0
9,0.852259,0.720391,0,0,0,0,0,0
10,0.849817,0.732601,0,0,0,0,0,0
11,0.849817,0.749695,0,0,0,0,0,0
12,0.835165,0.732601,0,0,0,0,0,0
13,0.879121,0.761905,0,0,0,0,0,0
14,0.891331,0.769231,0,0,0,0,0,0
15,0.871795,0.713065,0,0,0,0,0,0
16,0.884005,0.796093,0,0,0,0,0,0
17,0.862027,0.742369,0,0,0,0,0,0
18,0.866911,0.737485,0,0,0,0,0,0
19,0.871795,0.761905,0,0,0,0,0,0
20,0.871795,0.764347,0,0,0,0,0,0
21,0.888889,0.752137,0,0,0,0,0,0
22,0.888889,0.766789,0,0,0,0,0,0
23,0.835165,0.727717,0,0,0,0,0,0
24,0.884005,0.752137,0,0,0,0,0,0
25,0.908425,0.786325,0,0,0,0,0,0
26,0.881563,0.759463,0,0,0,0,0,0
27,0.876679,0.752137,0,0,0,0,0,0
28,0.825397,0.754579,0,0,0,0,0,0
29,0.854701,0.769231,0,0,0,0,0,0
30,0.869353,0.766789,0,0,0,0,0,0
31,0.869353,0.766789,0,0,0,0,0,0
32,0.864469,0.764347,0,0,0,0,0,0
33,0.874237,0.776557,0,0,0,0,0,0
34,0.884005,0.761905,0,0,0,0,0,0
35,0.879121,0.766789,0,0,0,0,0,0
36,0.898657,0.781441,0,0,0,0,0,0
37,0.901099,0.783883,0,0,0,0,0,0
38,0.896215,0.769231,0,0,0,0,0,0
39,0.866911,0.771673,0,0,0,0,0,0
40,0.879121,0.776557,0,0,0,0,0,0
41,0.884005,0.786325,0,0,0,0,0,0
42,0.881563,0.774115,0,0,0,0,0,0
43,0.881563,0.759463,0,0,0,0,0,0
44,0.905983,0.783883,0,0,0,0,0,0
45,0.898657,0.761905,0,0,0,0,0,0
46,0.869353,0.781441,0,0,0,0,0,0
47,0.888889,0.786325,0,0,0,0,0,0
48,0.866911,0.791209,0,0,0,0,0,0
49,0.874237,0.796093,0,0,0,0,0,0
50,0.862027,0.781441,0,0,0,0,0,0
51,0.884005,0.803419,0,0,0,0,0,0
52,0.884005,0.781441,0,0,0,0,0,0
