Index,AIN1,AIN2,AIN 3,AIN 4,AIN 5,AIN 6,AIN 7,AIN 8
1,0.881563,0.783883,0,0,0,0,0,0
2,0.891331,0.796093,0,0,0,0,0,0
3,0.898657,0.786325,0,0,0,0,0,0
4,0.881563,0.815629,0,0,0,0,0,0
5,0.871795,0.813187,0,0,0,0,0,0
6,0.869353,0.798535,0,0,0,0,0,0
7,0.893773,0.808303,0,0,0,0,0,0
8,0.898657,0.764347,0,0,0,0,0,0
9,0.869353,0.793651,0,0,0,0,0,0
10,0.871795,0.813187,0,0,0,0,0,0
11,0.857143,0.778999,0,0,0,0,0,0
12,0.859585,0.783883,0,0,0,0,0,0
13,0.888889,0.788767,0,0,0,0,0,0
14,0.881563,0.781441,0,0,0,0,0,0
15,0.835165,0.800977,0,0,0,0,0,0
16,0.862027,0.793651,0,0,0,0,0,0
17,0.869353,0.793651,0,0,0,0,0,0
18,0.898657,0.803419,0,0,0,0,0,0
19,0.888889,0.830281,0,0,0,0,0,0
20,0.884005,0.820513,0,0,0,0,0,0
21,0.874237,0.822955,0,0,0,0,0,0
22,0.888889,0.796093,0,0,0,0,0,0
23,0.888889,0.791209,0,0,0,0,0,0
24,0.891331,0.805861,0,0,0,0,0,0
25,0.888889,0.800977,0,0,0,0,0,0
26,0.879121,0.805861,0,0,0,0,0,0
27,0.864469,0.805861,0,0,0,0,0,0
28,0.862027,0.835165,0,0,0,0,0,0
29,0.884005,0.793651,0,0,0,0,0,0
30,0.876679,0.783883,0,0,0,0,0,0
31,0.876679,0.857143,0,0,0,0,0,0
32,0.857143,0.798535,0,0,0,0,0,0
33,0.854701,0.791209,0,0,0,0,0,0
34,0.874237,0.800977,0,0,0,0,0,0
35,0.891331,0.803419,0,0,0,0,0,0
36,0.886447,0.837607,0,0,0,0,0,0
37,0.881563,0.815629,0,0,0,0,0,0
38,0.874237,0.800977,0,0,0,0,0,0
39,0.874237,0.771673,0,0,0,0,0,0
40,0.920635,0.803419,0,0,0,0,0,0
41,0.886447,0.835165,0,0,0,0,0,0
42,0.866911,0.813187,0,0,0,0,0,0
43,0.866911,0.788767,0,0,0,0,0,0
44,0.849817,0.791209,0,0,0,0,0,0
45,0.847375,0.776557,0,0,0,0,0,0
46,0.876679,0.796093,0,0,0,0,0,0
47,0.874237,0.791209,0,0,0,0,0,0
48,0.874237,0.781441,0,0,0,0,0,0
49,0.862027,0.764347,0,0,0,0,0,0
50,0.871795,0.798535,0,0,0,0,0,0
51,0.913309,0.815629,0,0,0,0,0,0
52,0.893773,0.813187,0,0,0,0,0,0
53,0.884005,0.808303,0,0,0,0,0,0
54,0.871795,0.776557,0,0,0,0,0,0
55,0.888889,0.818071,0,0,0,0,0,0
56,0.881563,0.796093,0,0,0,0,0,0
57,0.888889,0.808303,0,0,0,0,0,0
58,0.901099,0.796093,0,0,0,0,0,0
59,0.915751,0.808303,0,0,0,0,0,0
60,0.866911,0.805861,0,0,0,0,0,0
61,0.864469,0.781441,0,0,0,0,0,0
62,0.847375,0.783883,0,0,0,0,0,0
63,0.876679,0.788767,0,0,0,0,0,0
64,0.876679,0.859585,0,0,0,0,0,0
65,0.854701,0.788767,0,0,0,0,0,0
66,0.847375,0.791209,0,0,0,0,0,0
67,0.881563,0.800977,0,0,0,0,0,0
68,0.886447,0.764347,0,0,0,0,0,0
69,0.886447,0.798535,0,0,0,0,0,0
70,0.884005,0.786325,0,0,0,0,0,0
71,0.874237,0.820513,0,0,0,0,0,0
72,0.884005,0.788767,0,0,0,0,0,0
73,0.893773,0.796093,0,0,0,0,0,0
74,0.886447,0.800977,0,0,0,0,0,0
75,0.891331,0.805861,0,0,0,0,0,0
76,0.876679,0.788767,0,0,0,0,0,0
77,0.864469,0.776557,0,0,0,0,0,0
78,0.859585,0.781441,0,0,0,0,0,0
79,0.857143,0.793651,0,0,0,0,0,0
80,0.881563,0.852259,0,0,0,0,0,0
81,0.893773,0.808303,0,0,0,0,0,0
82,0.862027,0.810745,0,0,0,0,0,0
83,0.857143,0.798535,0,0,0,0,0,0
84,0.869353,0.788767,0,0,0,0,0,0
85,0.884005,0.788767,0,0,0,0,0,0
86,0.898657,0.808303,0,0,0,0,0,0
87,0.901099,0.818071,0,0,0,0,0,0
88,0.884005,0.810745,0,0,0,0,0,0
89,0.869353,0.783883,0,0,0,0,0,0
90,0.871795,0.800977,0,0,0,0,0,0
91,0.881563,0.808303,0,0,0,0,0,0
92,0.893773,0.808303,0,0,0,0,0,0
93,0.898657,0.830281,0,0,0,0,0,0
94,0.864469,0.778999,0,0,0,0,0,0
