Index,AIN1,AIN 2,AIN 3,AIN 4,AIN 5,AIN 6,AIN 7,AIN 8
1,0.967033,0.549451,0,0,0,0,0,0
2,0.996337,0.551893,0,0,0,0,0,0
3,0.976801,0.556777,0,0,0,0,0,0
4,0.974359,0.568987,0,0,0,0,0,0
5,0.964591,0.590965,0,0,0,0,0,0
6,0.976801,0.554335,0,0,0,0,0,0
7,0.969475,0.551893,0,0,0,0,0,0
8,0.979243,0.554335,0,0,0,0,0,0
9,0.979243,0.561661,0,0,0,0,0,0
10,0.971917,0.568987,0,0,0,0,0,0
11,0.991453,0.551893,0,0,0,0,0,0
12,0.957265,0.547009,0,0,0,0,0,0
13,0.996337,0.551893,0,0,0,0,0,0
14,0.954823,0.539683,0,0,0,0,0,0
15,0.979243,0.547009,0,0,0,0,0,0
16,0.962149,0.554335,0,0,0,0,0,0
17,0.984127,0.590965,0,0,0,0,0,0
18,0.967033,0.549451,0,0,0,0,0,0
19,0.979243,0.542125,0,0,0,0,0,0
20,0.984127,0.561661,0,0,0,0,0,0
21,0.981685,0.573871,0,0,0,0,0,0
22,0.981685,0.566545,0,0,0,0,0,0
23,0.962149,0.556777,0,0,0,0,0,0
24,0.959707,0.539683,0,0,0,0,0,0
25,0.947497,0.539683,0,0,0,0,0,0
26,0.993895,0.517705,0,0,0,0,0,0
27,0.959707,0.576313,0,0,0,0,0,0
28,0.993895,0.544567,0,0,0,0,0,0
29,0.962149,0.559219,0,0,0,0,0,0
30,0.993895,0.544567,0,0,0,0,0,0
31,0.979243,0.566545,0,0,0,0,0,0
32,0.991453,0.510379,0,0,0,0,0,0
33,0.976801,0.551893,0,0,0,0,0,0
34,0.981685,0.556777,0,0,0,0,0,0
35,0.969475,0.573871,0,0,0,0,0,0
36,0.957265,0.551893,0,0,0,0,0,0
37,0.964591,0.549451,0,0,0,0,0,0
38,0.981685,0.547009,0,0,0,0,0,0
39,0.805861,0.551893,0,0,0,0,0,0
40,0.876679,0.573871,0,0,0,0,0,0
41,1.04274,0.551893,0,0,0,0,0,0
42,0.976801,0.556777,0,0,0,0,0,0
43,0.998779,0.537241,0,0,0,0,0,0
44,0.969475,0.576313,0,0,0,0,0,0
45,0.986569,0.537241,0,0,0,0,0,0
46,0.947497,0.542125,0,0,0,0,0,0
47,0.976801,0.534799,0,0,0,0,0,0
48,0.964591,0.551893,0,0,0,0,0,0
49,0.979243,0.549451,0,0,0,0,0,0
50,0.974359,0.554335,0,0,0,0,0,0
51,0.979243,0.561661,0,0,0,0,0,0
52,1.00611,0.554335,0,0,0,0,0,0
53,0.986569,0.561661,0,0,0,0,0,0
54,0.989011,0.556777,0,0,0,0,0,0
55,0.964591,0.507937,0,0,0,0,0,0
56,0.957265,0.527473,0,0,0,0,0,0
57,0.954823,0.539683,0,0,0,0,0,0
58,0.991453,0.539683,0,0,0,0,0,0
59,0.945055,0.544567,0,0,0,0,0,0
60,0.998779,0.527473,0,0,0,0,0,0
61,0.967033,0.564103,0,0,0,0,0,0
62,1.01099,0.559219,0,0,0,0,0,0
63,0.976801,0.554335,0,0,0,0,0,0
64,0.989011,0.539683,0,0,0,0,0,0
65,0.976801,0.554335,0,0,0,0,0,0
66,0.981685,0.537241,0,0,0,0,0,0
67,0.945055,0.510379,0,0,0,0,0,0
68,0.967033,0.544567,0,0,0,0,0,0
69,0.976801,0.537241,0,0,0,0,0,0
70,0.967033,0.549451,0,0,0,0,0,0
71,0.976801,0.561661,0,0,0,0,0,0
72,0.993895,0.568987,0,0,0,0,0,0
73,0.984127,0.561661,0,0,0,0,0,0
74,0.964591,0.556777,0,0,0,0,0,0
75,0.984127,0.573871,0,0,0,0,0,0
76,0.969475,0.578755,0,0,0,0,0,0
77,0.984127,0.532357,0,0,0,0,0,0
78,0.945055,0.598291,0,0,0,0,0,0
79,0.962149,0.547009,0,0,0,0,0,0
80,0.959707,0.595849,0,0,0,0,0,0
81,0.998779,0.539683,0,0,0,0,0,0
82,0.962149,0.527473,0,0,0,0,0,0
83,1.00855,0.566545,0,0,0,0,0,0
84,0.969475,0.549451,0,0,0,0,0,0
85,0.996337,0.566545,0,0,0,0,0,0
86,0.967033,0.547009,0,0,0,0,0,0
87,0.991453,0.517705,0,0,0,0,0,0
88,0.954823,0.534799,0,0,0,0,0,0
89,0.967033,0.556777,0,0,0,0,0,0
90,0.989011,0.559219,0,0,0,0,0,0
91,0.989011,0.549451,0,0,0,0,0,0
92,0.964591,0.542125,0,0,0,0,0,0
93,0.984127,0.566545,0,0,0,0,0,0
94,0.981685,0.561661,0,0,0,0,0,0
95,0.971917,0.561661,0,0,0,0,0,0
96,0.991453,0.517705,0,0,0,0,0,0
97,0.969475,0.568987,0,0,0,0,0,0
98,0.993895,0.539683,0,0,0,0,0,0
99,0.942613,0.559219,0,0,0,0,0,0
100,0.981685,0.542125,0,0,0,0,0,0
101,0.957265,0.583639,0,0,0,0,0,0
102,0.979243,0.581197,0,0,0,0,0,0
103,0.974359,0.605617,0,0,0,0,0,0
104,0.996337,0.593407,0,0,0,0,0,0
105,0.976801,0.583639,0,0,0,0,0,0
106,0.981685,0.598291,0,0,0,0,0,0
107,0.976801,0.561661,0,0,0,0,0,0
108,0.971917,0.529915,0,0,0,0,0,0
109,0.949939,0.578755,0,0,0,0,0,0
110,0.969475,0.571429,0,0,0,0,0,0
111,0.976801,0.564103,0,0,0,0,0,0
112,0.937729,0.583639,0,0,0,0,0,0
113,0.996337,0.588523,0,0,0,0,0,0
114,0.981685,0.566545,0,0,0,0,0,0
115,1.02076,0.578755,0,0,0,0,0,0
116,0.964591,0.539683,0,0,0,0,0,0
117,0.984127,0.568987,0,0,0,0,0,0
118,0.930403,0.581197,0,0,0,0,0,0
119,0.986569,0.578755,0,0,0,0,0,0
120,0.954823,0.600733,0,0,0,0,0,0
121,0.986569,0.583639,0,0,0,0,0,0
122,0.949939,0.581197,0,0,0,0,0,0
123,0.969475,0.583639,0,0,0,0,0,0
124,0.976801,0.598291,0,0,0,0,0,0
125,0.991453,0.590965,0,0,0,0,0,0
126,0.979243,0.578755,0,0,0,0,0,0
127,0.947497,0.581197,0,0,0,0,0,0
128,1.01099,0.617827,0,0,0,0,0,0
129,0.949939,0.556777,0,0,0,0,0,0
130,0.984127,0.568987,0,0,0,0,0,0
131,0.952381,0.561661,0,0,0,0,0,0
132,0.986569,0.571429,0,0,0,0,0,0
133,0.967033,0.564103,0,0,0,0,0,0
134,0.971917,0.573871,0,0,0,0,0,0
135,0.962149,0.586081,0,0,0,0,0,0
136,0.991453,0.583639,0,0,0,0,0,0
137,0.969475,0.586081,0,0,0,0,0,0
138,0.976801,0.578755,0,0,0,0,0,0
139,0.971917,0.547009,0,0,0,0,0,0
140,0.942613,0.554335,0,0,0,0,0,0
141,0.969475,0.554335,0,0,0,0,0,0
142,0.739927,0.598291,0,0,0,0,0,0
143,0.942613,0.564103,0,0,0,0,0,0
144,0.940171,0.581197,0,0,0,0,0,0
145,1.00122,0.583639,0,0,0,0,0,0
146,0.962149,0.581197,0,0,0,0,0,0
147,0.976801,0.573871,0,0,0,0,0,0
148,0.967033,0.610501,0,0,0,0,0,0
149,0.976801,0.576313,0,0,0,0,0,0
150,0.962149,0.568987,0,0,0,0,0,0
151,0.967033,0.542125,0,0,0,0,0,0
152,0.969475,0.617827,0,0,0,0,0,0
153,0.949939,0.578755,0,0,0,0,0,0
154,0.979243,0.588523,0,0,0,0,0,0
155,0.969475,0.598291,0,0,0,0,0,0
