Index,AIN1,AIN 2,AIN 3,AIN 4,AIN 5,AIN 6,AIN 7,AIN 8
1,0.869353,0.730159,0,0,0,0,0,0
2,0.874237,0.708181,0,0,0,0,0,0
3,0.849817,0.744811,0,0,0,0,0,0
4,0.857143,0.730159,0,0,0,0,0,0
5,0.884005,0.757021,0,0,0,0,0,0
6,0.876679,0.749695,0,0,0,0,0,0
7,0.864469,0.742369,0,0,0,0,0,0
8,0.859585,0.757021,0,0,0,0,0,0
9,0.859585,0.739927,0,0,0,0,0,0
10,0.888889,0.747253,0,0,0,0,0,0
11,0.881563,0.786325,0,0,0,0,0,0
12,0.844933,0.705739,0,0,0,0,0,0
13,0.849817,0.735043,0,0,0,0,0,0
14,0.869353,0.739927,0,0,0,0,0,0
15,0.879121,0.752137,0,0,0,0,0,0
16,0.876679,0.788767,0,0,0,0,0,0
17,0.847375,0.730159,0,0,0,0,0,0
18,0.864469,0.793651,0,0,0,0,0,0
19,0.898657,0.788767,0,0,0,0,0,0
20,0.881563,0.761905,0,0,0,0,0,0
21,0.862027,0.732601,0,0,0,0,0,0
22,0.879121,0.732601,0,0,0,0,0,0
23,0.864469,0.776557,0,0,0,0,0,0
24,0.871795,0.725275,0,0,0,0,0,0
25,0.864469,0.761905,0,0,0,0,0,0
26,0.864469,0.796093,0,0,0,0,0,0
27,0.864469,0.796093,0,0,0,0,0,0
28,0.866911,0.774115,0,0,0,0,0,0
29,0.876679,0.744811,0,0,0,0,0,0
30,0.874237,0.796093,0,0,0,0,0,0
31,0.881563,0.864469,0,0,0,0,0,0
32,0.871795,0.793651,0,0,0,0,0,0
33,0.913309,0.766789,0,0,0,0,0,0
34,0.888889,0.808303,0,0,0,0,0,0
35,0.852259,0.771673,0,0,0,0,0,0
36,0.857143,0.781441,0,0,0,0,0,0
37,0.871795,0.786325,0,0,0,0,0,0
38,0.891331,0.803419,0,0,0,0,0,0
39,0.879121,0.791209,0,0,0,0,0,0
40,0.862027,0.791209,0,0,0,0,0,0
41,0.874237,0.798535,0,0,0,0,0,0
42,0.869353,0.808303,0,0,0,0,0,0
43,0.903541,0.825397,0,0,0,0,0,0
44,0.913309,0.810745,0,0,0,0,0,0
45,0.874237,0.805861,0,0,0,0,0,0
46,0.876679,0.847375,0,0,0,0,0,0
47,0.874237,0.871795,0,0,0,0,0,0
48,0.893773,0.786325,0,0,0,0,0,0
49,0.879121,0.805861,0,0,0,0,0,0
50,0.854701,0.815629,0,0,0,0,0,0
51,0.879121,0.822955,0,0,0,0,0,0
52,0.901099,0.820513,0,0,0,0,0,0
53,0.891331,0.820513,0,0,0,0,0,0
54,0.888889,0.871795,0,0,0,0,0,0
55,0.891331,0.835165,0,0,0,0,0,0
56,0.915751,0.844933,0,0,0,0,0,0
57,0.901099,0.905983,0,0,0,0,0,0
58,0.891331,0.798535,0,0,0,0,0,0
59,0.874237,0.832723,0,0,0,0,0,0
60,0.871795,0.820513,0,0,0,0,0,0
61,0.844933,0.830281,0,0,0,0,0,0
62,0.891331,0.835165,0,0,0,0,0,0
63,0.884005,0.849817,0,0,0,0,0,0
64,0.876679,0.837607,0,0,0,0,0,0
65,0.881563,0.842491,0,0,0,0,0,0
66,0.903541,0.862027,0,0,0,0,0,0
67,0.908425,0.842491,0,0,0,0,0,0
68,0.888889,0.847375,0,0,0,0,0,0
69,0.884005,0.835165,0,0,0,0,0,0
70,0.888889,0.859585,0,0,0,0,0,0
71,0.918193,0.849817,0,0,0,0,0,0
72,0.893773,0.835165,0,0,0,0,0,0
73,0.866911,0.820513,0,0,0,0,0,0
74,0.871795,0.842491,0,0,0,0,0,0
75,0.893773,0.830281,0,0,0,0,0,0
76,0.901099,0.832723,0,0,0,0,0,0
77,0.898657,0.815629,0,0,0,0,0,0
78,0.871795,0.857143,0,0,0,0,0,0
79,0.898657,0.849817,0,0,0,0,0,0
80,0.920635,0.869353,0,0,0,0,0,0
81,0.910867,0.854701,0,0,0,0,0,0
82,0.898657,0.896215,0,0,0,0,0,0
83,0.881563,0.857143,0,0,0,0,0,0
84,0.884005,0.827839,0,0,0,0,0,0
85,0.905983,0.820513,0,0,0,0,0,0
86,0.881563,0.842491,0,0,0,0,0,0
87,0.879121,0.849817,0,0,0,0,0,0
88,0.896215,0.847375,0,0,0,0,0,0
89,0.869353,0.886447,0,0,0,0,0,0
90,0.891331,0.847375,0,0,0,0,0,0
91,0.913309,0.910867,0,0,0,0,0,0
92,0.901099,0.869353,0,0,0,0,0,0
93,0.910867,0.849817,0,0,0,0,0,0
94,0.913309,0.866911,0,0,0,0,0,0
95,0.913309,0.864469,0,0,0,0,0,0
96,0.898657,0.879121,0,0,0,0,0,0
97,0.884005,0.857143,0,0,0,0,0,0
98,0.881563,0.849817,0,0,0,0,0,0
99,0.918193,0.854701,0,0,0,0,0,0
100,0.896215,0.869353,0,0,0,0,0,0
101,0.871795,0.876679,0,0,0,0,0,0
102,0.884005,0.871795,0,0,0,0,0,0
103,0.913309,0.852259,0,0,0,0,0,0
104,0.920635,0.874237,0,0,0,0,0,0
105,0.881563,0.893773,0,0,0,0,0,0
106,0.891331,0.923077,0,0,0,0,0,0
107,0.901099,0.866911,0,0,0,0,0,0
108,0.913309,0.884005,0,0,0,0,0,0
109,0.896215,0.874237,0,0,0,0,0,0
110,0.879121,0.864469,0,0,0,0,0,0
111,0.874237,0.876679,0,0,0,0,0,0
112,0.874237,0.876679,0,0,0,0,0,0
113,0.678877,0.940171,0,0,0,0,0,0
114,0.893773,0.927961,0,0,0,0,0,0
115,0.888889,0.896215,0,0,0,0,0,0
116,0.893773,0.888889,0,0,0,0,0,0
117,0.915751,0.859585,0,0,0,0,0,0
118,0.908425,0.876679,0,0,0,0,0,0
119,0.888889,0.871795,0,0,0,0,0,0
120,0.891331,0.888889,0,0,0,0,0,0
121,0.908425,0.913309,0,0,0,0,0,0
122,0.898657,0.854701,0,0,0,0,0,0
123,0.918193,0.864469,0,0,0,0,0,0
124,0.886447,0.842491,0,0,0,0,0,0
125,0.879121,0.901099,0,0,0,0,0,0
126,0.905983,0.862027,0,0,0,0,0,0
127,0.898657,0.849817,0,0,0,0,0,0
128,0.903541,0.874237,0,0,0,0,0,0
129,0.905983,0.859585,0,0,0,0,0,0
130,0.927961,0.852259,0,0,0,0,0,0
131,0.913309,0.864469,0,0,0,0,0,0
132,0.908425,0.879121,0,0,0,0,0,0
133,0.881563,0.842491,0,0,0,0,0,0
134,0.888889,0.857143,0,0,0,0,0,0
135,0.901099,0.847375,0,0,0,0,0,0
136,0.896215,0.864469,0,0,0,0,0,0
137,0.886447,0.927961,0,0,0,0,0,0
138,0.886447,0.854701,0,0,0,0,0,0
139,0.918193,0.874237,0,0,0,0,0,0
140,0.908425,0.879121,0,0,0,0,0,0
141,0.905983,0.874237,0,0,0,0,0,0
142,0.898657,0.864469,0,0,0,0,0,0
143,0.910867,0.915751,0,0,0,0,0,0
144,0.918193,0.879121,0,0,0,0,0,0
145,0.905983,0.820513,0,0,0,0,0,0
146,0.876679,0.849817,0,0,0,0,0,0
147,0.884005,0.869353,0,0,0,0,0,0
148,0.920635,0.879121,0,0,0,0,0,0
149,0.896215,0.822955,0,0,0,0,0,0
150,0.891331,0.886447,0,0,0,0,0,0
151,0.888889,0.893773,0,0,0,0,0,0
152,0.901099,0.874237,0,0,0,0,0,0
153,0.927961,0.893773,0,0,0,0,0,0
154,0.923077,0.879121,0,0,0,0,0,0
155,0.893773,0.862027,0,0,0,0,0,0
156,0.888889,0.893773,0,0,0,0,0,0
157,0.918193,0.879121,0,0,0,0,0,0
158,0.898657,0.844933,0,0,0,0,0,0
159,0.888889,0.913309,0,0,0,0,0,0
160,0.891331,0.888889,0,0,0,0,0,0
161,0.905983,0.884005,0,0,0,0,0,0
162,0.918193,0.893773,0,0,0,0,0,0
163,0.905983,0.891331,0,0,0,0,0,0
164,0.898657,0.898657,0,0,0,0,0,0
165,0.923077,0.888889,0,0,0,0,0,0
166,0.910867,0.898657,0,0,0,0,0,0
167,0.910867,0.879121,0,0,0,0,0,0
168,0.910867,0.888889,0,0,0,0,0,0
169,0.898657,0.881563,0,0,0,0,0,0
170,0.891331,0.940171,0,0,0,0,0,0
171,0.896215,0.893773,0,0,0,0,0,0
172,0.903541,0.901099,0,0,0,0,0,0
173,0.893773,0.881563,0,0,0,0,0,0
174,0.903541,0.896215,0,0,0,0,0,0
