Index,AIN1,AIN 2,AIN 3,AIN 4,AIN 5,AIN 6,AIN 7,AIN 8
1,0.859585,0.642247,0,0,0,0,0,0
2,0.874237,0.654457,0,0,0,0,0,0
3,0.871795,0.625153,0,0,0,0,0,0
4,0.837607,0.620269,0,0,0,0,0,0
5,0.842491,0.654457,0,0,0,0,0,0
6,0.849817,0.654457,0,0,0,0,0,0
7,0.862027,0.627595,0,0,0,0,0,0
8,0.844933,0.659341,0,0,0,0,0,0
9,0.835165,0.634921,0,0,0,0,0,0
10,0.869353,0.652015,0,0,0,0,0,0
11,0.891331,0.627595,0,0,0,0,0,0
12,0.871795,0.644689,0,0,0,0,0,0
13,0.864469,0.671551,0,0,0,0,0,0
14,0.849817,0.625153,0,0,0,0,0,0
15,0.879121,0.639805,0,0,0,0,0,0
16,0.869353,0.644689,0,0,0,0,0,0
17,0.852259,0.642247,0,0,0,0,0,0
18,0.844933,0.686203,0,0,0,0,0,0
19,0.847375,0.652015,0,0,0,0,0,0
20,0.859585,0.713065,0,0,0,0,0,0
21,0.864469,0.693529,0,0,0,0,0,0
22,0.893773,0.713065,0,0,0,0,0,0
23,0.874237,0.632479,0,0,0,0,0,0
24,0.881563,0.654457,0,0,0,0,0,0
25,0.859585,0.632479,0,0,0,0,0,0
26,0.849817,0.637363,0,0,0,0,0,0
27,0.864469,0.625153,0,0,0,0,0,0
28,0.871795,0.637363,0,0,0,0,0,0
29,0.857143,0.634921,0,0,0,0,0,0
30,0.842491,0.637363,0,0,0,0,0,0
31,0.854701,0.652015,0,0,0,0,0,0
32,0.884005,0.649573,0,0,0,0,0,0
33,0.879121,0.652015,0,0,0,0,0,0
34,0.854701,0.652015,0,0,0,0,0,0
35,0.866911,0.644689,0,0,0,0,0,0
36,0.844933,0.600733,0,0,0,0,0,0
37,0.869353,0.644689,0,0,0,0,0,0
38,0.859585,0.649573,0,0,0,0,0,0
39,0.852259,0.642247,0,0,0,0,0,0
40,0.852259,0.625153,0,0,0,0,0,0
41,0.871795,0.669109,0,0,0,0,0,0
42,0.871795,0.671551,0,0,0,0,0,0
43,0.859585,0.647131,0,0,0,0,0,0
44,0.874237,0.678877,0,0,0,0,0,0
45,0.886447,0.681319,0,0,0,0,0,0
46,0.876679,0.630037,0,0,0,0,0,0
