Index,AIN1,AIN 2,AIN 3,AIN 4,AIN 5,AIN 6,AIN 7,AIN 8
1,0.866911,0.827839,0,0,0,0,0,0
2,0.791209,0.820513,0,0,0,0,0,0
3,0.896215,0.820513,0,0,0,0,0,0
4,0.881563,0.800977,0,0,0,0,0,0
5,0.857143,0.825397,0,0,0,0,0,0
6,0.866911,0.818071,0,0,0,0,0,0
7,0.879121,0.815629,0,0,0,0,0,0
8,0.884005,0.849817,0,0,0,0,0,0
9,0.866911,0.818071,0,0,0,0,0,0
10,0.859585,0.820513,0,0,0,0,0,0
11,0.893773,0.837607,0,0,0,0,0,0
12,0.896215,0.837607,0,0,0,0,0,0
13,0.908425,0.825397,0,0,0,0,0,0
14,0.879121,0.796093,0,0,0,0,0,0
15,0.888889,0.832723,0,0,0,0,0,0
16,0.898657,0.805861,0,0,0,0,0,0
17,0.888889,0.818071,0,0,0,0,0,0
18,0.869353,0.835165,0,0,0,0,0,0
19,0.862027,0.891331,0,0,0,0,0,0
20,0.879121,0.818071,0,0,0,0,0,0
21,0.874237,0.781441,0,0,0,0,0,0
22,0.903541,0.825397,0,0,0,0,0,0
23,0.893773,0.859585,0,0,0,0,0,0
24,0.888889,0.835165,0,0,0,0,0,0
25,0.879121,0.830281,0,0,0,0,0,0
26,0.913309,0.849817,0,0,0,0,0,0
27,0.908425,0.879121,0,0,0,0,0,0
28,0.888889,0.815629,0,0,0,0,0,0
29,0.859585,0.844933,0,0,0,0,0,0
30,0.859585,0.830281,0,0,0,0,0,0
31,0.884005,0.820513,0,0,0,0,0,0
32,0.869353,0.805861,0,0,0,0,0,0
33,0.886447,0.830281,0,0,0,0,0,0
34,0.857143,0.818071,0,0,0,0,0,0
35,0.898657,0.842491,0,0,0,0,0,0
36,0.898657,0.835165,0,0,0,0,0,0
37,0.908425,0.803419,0,0,0,0,0,0
38,0.866911,0.835165,0,0,0,0,0,0
39,0.881563,0.822955,0,0,0,0,0,0
40,0.871795,0.815629,0,0,0,0,0,0
41,0.893773,0.830281,0,0,0,0,0,0
42,0.881563,0.840049,0,0,0,0,0,0
43,0.869353,0.866911,0,0,0,0,0,0
44,0.879121,0.859585,0,0,0,0,0,0
45,0.874237,0.827839,0,0,0,0,0,0
46,0.905983,0.840049,0,0,0,0,0,0
47,0.886447,0.835165,0,0,0,0,0,0
48,0.903541,0.837607,0,0,0,0,0,0
49,0.905983,0.825397,0,0,0,0,0,0
50,0.886447,0.830281,0,0,0,0,0,0
51,0.903541,0.825397,0,0,0,0,0,0
52,0.888889,0.884005,0,0,0,0,0,0
53,0.874237,0.815629,0,0,0,0,0,0
54,0.869353,0.813187,0,0,0,0,0,0
55,0.844933,0.825397,0,0,0,0,0,0
56,0.896215,0.825397,0,0,0,0,0,0
57,0.903541,0.815629,0,0,0,0,0,0
58,0.876679,0.842491,0,0,0,0,0,0
59,0.893773,0.818071,0,0,0,0,0,0
60,0.908425,0.840049,0,0,0,0,0,0
61,0.893773,0.796093,0,0,0,0,0,0
62,0.898657,0.842491,0,0,0,0,0,0
63,0.879121,0.815629,0,0,0,0,0,0
64,0.884005,0.820513,0,0,0,0,0,0
65,0.884005,0.810745,0,0,0,0,0,0
66,0.888889,0.820513,0,0,0,0,0,0
67,0.879121,0.832723,0,0,0,0,0,0
68,0.879121,0.830281,0,0,0,0,0,0
69,0.869353,0.820513,0,0,0,0,0,0
70,0.888889,0.788767,0,0,0,0,0,0
71,0.879121,0.822955,0,0,0,0,0,0
72,0.901099,0.859585,0,0,0,0,0,0
73,0.876679,0.827839,0,0,0,0,0,0
74,0.871795,0.884005,0,0,0,0,0,0
75,0.910867,0.827839,0,0,0,0,0,0
76,0.886447,0.818071,0,0,0,0,0,0
77,0.891331,0.822955,0,0,0,0,0,0
78,0.859585,0.810745,0,0,0,0,0,0
79,0.881563,0.822955,0,0,0,0,0,0
80,0.854701,0.822955,0,0,0,0,0,0
81,0.901099,0.800977,0,0,0,0,0,0
82,0.893773,0.815629,0,0,0,0,0,0
83,0.881563,0.793651,0,0,0,0,0,0
84,0.881563,0.830281,0,0,0,0,0,0
85,0.898657,0.842491,0,0,0,0,0,0
86,0.898657,0.822955,0,0,0,0,0,0
87,0.884005,0.822955,0,0,0,0,0,0
88,0.886447,0.825397,0,0,0,0,0,0
89,0.886447,0.820513,0,0,0,0,0,0
90,0.871795,0.818071,0,0,0,0,0,0
91,0.871795,0.847375,0,0,0,0,0,0
92,0.901099,0.825397,0,0,0,0,0,0
93,0.874237,0.832723,0,0,0,0,0,0
94,0.879121,0.820513,0,0,0,0,0,0
95,0.876679,0.835165,0,0,0,0,0,0
96,0.903541,0.893773,0,0,0,0,0,0
97,0.898657,0.830281,0,0,0,0,0,0
98,0.879121,0.830281,0,0,0,0,0,0
99,0.898657,0.837607,0,0,0,0,0,0
100,0.915751,0.842491,0,0,0,0,0,0
101,0.898657,0.820513,0,0,0,0,0,0
102,0.859585,0.820513,0,0,0,0,0,0
103,0.874237,0.847375,0,0,0,0,0,0
104,0.891331,0.825397,0,0,0,0,0,0
105,0.901099,0.820513,0,0,0,0,0,0
106,0.876679,0.862027,0,0,0,0,0,0
107,0.874237,0.852259,0,0,0,0,0,0
108,0.876679,0.832723,0,0,0,0,0,0
109,0.891331,0.827839,0,0,0,0,0,0
110,0.913309,0.803419,0,0,0,0,0,0
111,0.908425,0.830281,0,0,0,0,0,0
112,0.896215,0.837607,0,0,0,0,0,0
113,0.879121,0.825397,0,0,0,0,0,0
114,0.879121,0.822955,0,0,0,0,0,0
115,0.903541,0.825397,0,0,0,0,0,0
116,0.893773,0.822955,0,0,0,0,0,0
117,0.869353,0.815629,0,0,0,0,0,0
118,0.876679,0.810745,0,0,0,0,0,0
119,0.869353,0.815629,0,0,0,0,0,0
120,0.879121,0.832723,0,0,0,0,0,0
121,0.905983,0.840049,0,0,0,0,0,0
122,0.898657,0.862027,0,0,0,0,0,0
123,0.891331,0.820513,0,0,0,0,0,0
124,0.881563,0.842491,0,0,0,0,0,0
125,0.884005,0.825397,0,0,0,0,0,0
126,0.886447,0.820513,0,0,0,0,0,0
127,0.876679,0.808303,0,0,0,0,0,0
128,0.844933,0.820513,0,0,0,0,0,0
129,0.864469,0.840049,0,0,0,0,0,0
130,0.862027,0.788767,0,0,0,0,0,0
131,0.898657,0.818071,0,0,0,0,0,0
132,0.903541,0.847375,0,0,0,0,0,0
133,0.903541,0.842491,0,0,0,0,0,0
134,0.893773,0.820513,0,0,0,0,0,0
135,0.888889,0.842491,0,0,0,0,0,0
136,0.893773,0.820513,0,0,0,0,0,0
137,0.896215,0.822955,0,0,0,0,0,0
138,0.881563,0.810745,0,0,0,0,0,0
139,0.842491,0.803419,0,0,0,0,0,0
140,0.862027,0.840049,0,0,0,0,0,0
141,0.879121,0.818071,0,0,0,0,0,0
142,0.884005,0.813187,0,0,0,0,0,0
143,0.888889,0.835165,0,0,0,0,0,0
144,0.881563,0.852259,0,0,0,0,0,0
145,0.898657,0.859585,0,0,0,0,0,0
146,0.898657,0.805861,0,0,0,0,0,0
147,0.905983,0.866911,0,0,0,0,0,0
148,0.898657,0.830281,0,0,0,0,0,0
149,0.876679,0.815629,0,0,0,0,0,0
150,0.859585,0.810745,0,0,0,0,0,0
151,0.844933,0.864469,0,0,0,0,0,0
152,0.884005,0.805861,0,0,0,0,0,0
153,0.876679,0.830281,0,0,0,0,0,0
154,0.884005,0.835165,0,0,0,0,0,0
155,0.874237,0.884005,0,0,0,0,0,0
156,0.859585,0.842491,0,0,0,0,0,0
157,0.903541,0.793651,0,0,0,0,0,0
158,0.903541,0.837607,0,0,0,0,0,0
159,0.864469,0.835165,0,0,0,0,0,0
160,0.881563,0.822955,0,0,0,0,0,0
161,0.879121,0.820513,0,0,0,0,0,0
162,0.884005,0.835165,0,0,0,0,0,0
163,0.869353,0.822955,0,0,0,0,0,0
164,0.879121,0.810745,0,0,0,0,0,0
165,0.876679,0.810745,0,0,0,0,0,0
166,0.876679,0.832723,0,0,0,0,0,0
167,0.913309,0.832723,0,0,0,0,0,0
168,0.893773,0.818071,0,0,0,0,0,0
169,0.893773,0.840049,0,0,0,0,0,0
170,0.888889,0.837607,0,0,0,0,0,0
171,0.881563,0.879121,0,0,0,0,0,0
172,0.881563,0.869353,0,0,0,0,0,0
173,0.893773,0.852259,0,0,0,0,0,0
