Index,AIN1,AIN 2,AIN 3,AIN 4,AIN 5,AIN 6,AIN 7,AIN 8
1,0.942613,0.686203,0,0,0,0,0,0
2,0.952381,0.691087,0,0,0,0,0,0
3,0.942613,0.691087,0,0,0,0,0,0
4,0.952381,0.708181,0,0,0,0,0,0
5,0.976801,0.703297,0,0,0,0,0,0
6,0.952381,0.700855,0,0,0,0,0,0
7,0.964591,0.698413,0,0,0,0,0,0
8,0.954823,0.671551,0,0,0,0,0,0
9,0.937729,0.681319,0,0,0,0,0,0
10,0.976801,0.691087,0,0,0,0,0,0
11,0.945055,0.722833,0,0,0,0,0,0
12,0.954823,0.688645,0,0,0,0,0,0
13,0.949939,0.695971,0,0,0,0,0,0
14,0.957265,0.715507,0,0,0,0,0,0
15,0.967033,0.727717,0,0,0,0,0,0
16,0.952381,0.686203,0,0,0,0,0,0
17,0.979243,0.673993,0,0,0,0,0,0
18,0.942613,0.654457,0,0,0,0,0,0
19,0.954823,0.644689,0,0,0,0,0,0
20,0.945055,0.678877,0,0,0,0,0,0
21,0.959707,0.678877,0,0,0,0,0,0
22,0.940171,0.739927,0,0,0,0,0,0
23,0.940171,0.676435,0,0,0,0,0,0
24,0.981685,0.678877,0,0,0,0,0,0
25,0.959707,0.700855,0,0,0,0,0,0
26,0.971917,0.698413,0,0,0,0,0,0
27,0.949939,0.691087,0,0,0,0,0,0
28,0.954823,0.666667,0,0,0,0,0,0
29,0.923077,0.678877,0,0,0,0,0,0
30,0.910867,0.747253,0,0,0,0,0,0
31,0.969475,0.725275,0,0,0,0,0,0
32,0.947497,0.664225,0,0,0,0,0,0
33,0.949939,0.691087,0,0,0,0,0,0
34,0.945055,0.710623,0,0,0,0,0,0
35,0.937729,0.698413,0,0,0,0,0,0
36,0.969475,0.698413,0,0,0,0,0,0
37,0.949939,0.661783,0,0,0,0,0,0
38,0.964591,0.735043,0,0,0,0,0,0
39,0.942613,0.647131,0,0,0,0,0,0
40,0.952381,0.683761,0,0,0,0,0,0
41,0.952381,0.683761,0,0,0,0,0,0
42,0.942613,0.727717,0,0,0,0,0,0
43,0.971917,0.691087,0,0,0,0,0,0
44,0.959707,0.695971,0,0,0,0,0,0
45,0.959707,0.705739,0,0,0,0,0,0
46,0.959707,0.693529,0,0,0,0,0,0
47,0.742369,0.671551,0,0,0,0,0,0
48,0.959707,0.693529,0,0,0,0,0,0
49,0.935287,0.671551,0,0,0,0,0,0
50,0.959707,0.676435,0,0,0,0,0,0
51,0.947497,0.669109,0,0,0,0,0,0
52,0.954823,0.683761,0,0,0,0,0,0
53,0.945055,0.691087,0,0,0,0,0,0
54,0.969475,0.695971,0,0,0,0,0,0
55,0.962149,0.691087,0,0,0,0,0,0
56,0.957265,0.698413,0,0,0,0,0,0
57,0.976801,0.703297,0,0,0,0,0,0
58,0.940171,0.688645,0,0,0,0,0,0
59,0.969475,0.686203,0,0,0,0,0,0
60,0.949939,0.649573,0,0,0,0,0,0
61,0.945055,0.717949,0,0,0,0,0,0
62,0.949939,0.683761,0,0,0,0,0,0
63,0.957265,0.688645,0,0,0,0,0,0
64,0.974359,0.688645,0,0,0,0,0,0
65,0.945055,0.695971,0,0,0,0,0,0
66,0.957265,0.703297,0,0,0,0,0,0
67,0.945055,0.739927,0,0,0,0,0,0
68,0.962149,0.693529,0,0,0,0,0,0
69,0.981685,0.678877,0,0,0,0,0,0
70,0.945055,0.688645,0,0,0,0,0,0
71,0.945055,0.673993,0,0,0,0,0,0
72,0.940171,0.661783,0,0,0,0,0,0
73,0.962149,0.688645,0,0,0,0,0,0
74,0.935287,0.698413,0,0,0,0,0,0
75,0.962149,0.695971,0,0,0,0,0,0
76,0.964591,0.703297,0,0,0,0,0,0
77,0.957265,0.698413,0,0,0,0,0,0
78,0.962149,0.693529,0,0,0,0,0,0
79,0.952381,0.693529,0,0,0,0,0,0
80,0.949939,0.664225,0,0,0,0,0,0
81,0.942613,0.683761,0,0,0,0,0,0
82,0.930403,0.686203,0,0,0,0,0,0
83,0.971917,0.695971,0,0,0,0,0,0
84,0.942613,0.700855,0,0,0,0,0,0
85,0.962149,0.693529,0,0,0,0,0,0
86,0.954823,0.703297,0,0,0,0,0,0
87,0.964591,0.669109,0,0,0,0,0,0
88,0.937729,0.683761,0,0,0,0,0,0
89,0.945055,0.686203,0,0,0,0,0,0
90,0.971917,0.686203,0,0,0,0,0,0
91,0.935287,0.642247,0,0,0,0,0,0
92,0.937729,0.644689,0,0,0,0,0,0
93,0.952381,0.673993,0,0,0,0,0,0
94,0.952381,0.708181,0,0,0,0,0,0
